===============================================================================
 GLIntercept version 1.34 Log generated on: Mon May 15 13:53:07 2017
 
===============================================================================

wglChoosePixelFormat(BF0117B9,0136CC0C)=9 
glGetStringi(GL_EXTENSIONS,196)="GL_EXT_multi_draw_arrays" 
glGetStringi(GL_EXTENSIONS,197)="GL_EXT_packed_depth_stenc..." 
glGetStringi(GL_EXTENSIONS,198)="GL_EXT_packed_float" 
glGetStringi(GL_EXTENSIONS,199)="GL_EXT_packed_pixels" 
glGetStringi(GL_EXTENSIONS,200)="GL_EXT_pixel_buffer_objec..." 
glGetStringi(GL_EXTENSIONS,201)="GL_EXT_point_parameters" 
glGetStringi(GL_EXTENSIONS,202)="GL_EXT_polygon_offset_cla..." 
glGetStringi(GL_EXTENSIONS,203)="GL_EXT_post_depth_coverag..." 
glGetStringi(GL_EXTENSIONS,204)="GL_EXT_provoking_vertex" 
glGetStringi(GL_EXTENSIONS,205)="GL_EXT_raster_multisample" 
glGetStringi(GL_EXTENSIONS,206)="GL_EXT_rescale_normal" 
glGetStringi(GL_EXTENSIONS,207)="GL_EXT_secondary_color" 
glGetStringi(GL_EXTENSIONS,208)="GL_EXT_separate_shader_ob..." 
glGetStringi(GL_EXTENSIONS,209)="GL_EXT_separate_specular_..." 
glGetStringi(GL_EXTENSIONS,210)="GL_EXT_shader_image_load_..." 
glGetStringi(GL_EXTENSIONS,211)="GL_EXT_shader_image_load_..." 
glGetStringi(GL_EXTENSIONS,212)="GL_EXT_shader_integer_mix" 
glGetStringi(GL_EXTENSIONS,213)="GL_EXT_shadow_funcs" 
glGetStringi(GL_EXTENSIONS,214)="GL_EXT_sparse_texture2" 
glGetStringi(GL_EXTENSIONS,215)="GL_EXT_stencil_two_side" 
glGetStringi(GL_EXTENSIONS,216)="GL_EXT_stencil_wrap" 
glGetStringi(GL_EXTENSIONS,217)="GL_EXT_texture3D" 
glGetStringi(GL_EXTENSIONS,218)="GL_EXT_texture_array" 
glGetStringi(GL_EXTENSIONS,219)="GL_EXT_texture_buffer_obj..." 
glGetStringi(GL_EXTENSIONS,220)="GL_EXT_texture_compressio..." 
glGetStringi(GL_EXTENSIONS,221)="GL_EXT_texture_compressio..." 
glGetStringi(GL_EXTENSIONS,222)="GL_EXT_texture_compressio..." 
glGetStringi(GL_EXTENSIONS,223)="GL_EXT_texture_compressio..." 
glGetStringi(GL_EXTENSIONS,224)="GL_EXT_texture_cube_map" 
glGetStringi(GL_EXTENSIONS,225)="GL_EXT_texture_edge_clamp" 
glGetStringi(GL_EXTENSIONS,226)="GL_EXT_texture_env_combin..." 
glGetStringi(GL_EXTENSIONS,227)="GL_EXT_texture_env_dot3" 
glGetStringi(GL_EXTENSIONS,228)="GL_EXT_texture_filter_ani..." 
glGetStringi(GL_EXTENSIONS,229)="GL_EXT_texture_filter_min..." 
glGetStringi(GL_EXTENSIONS,230)="GL_EXT_texture_integer" 
glGetStringi(GL_EXTENSIONS,231)="GL_EXT_texture_lod" 
glGetStringi(GL_EXTENSIONS,232)="GL_EXT_texture_lod_bias" 
glGetStringi(GL_EXTENSIONS,233)="GL_EXT_texture_mirror_cla..." 
glGetStringi(GL_EXTENSIONS,234)="GL_EXT_texture_object" 
glGetStringi(GL_EXTENSIONS,235)="GL_EXT_texture_shared_exp..." 
glGetStringi(GL_EXTENSIONS,236)="GL_EXT_texture_sRGB" 
glGetStringi(GL_EXTENSIONS,237)="GL_EXT_texture_sRGB_decod..." 
glGetStringi(GL_EXTENSIONS,238)="GL_EXT_texture_storage" 
glGetStringi(GL_EXTENSIONS,239)="GL_EXT_texture_swizzle" 
glGetStringi(GL_EXTENSIONS,240)="GL_EXT_timer_query" 
glGetStringi(GL_EXTENSIONS,241)="GL_EXT_transform_feedback..." 
glGetStringi(GL_EXTENSIONS,242)="GL_EXT_vertex_array" 
glGetStringi(GL_EXTENSIONS,243)="GL_EXT_vertex_array_bgra" 
glGetStringi(GL_EXTENSIONS,244)="GL_EXT_vertex_attrib_64bi..." 
glGetStringi(GL_EXTENSIONS,245)="GL_EXT_window_rectangles" 
glGetStringi(GL_EXTENSIONS,246)="GL_EXT_import_sync_object" 
glGetStringi(GL_EXTENSIONS,247)="GL_IBM_rasterpos_clip" 
glGetStringi(GL_EXTENSIONS,248)="GL_IBM_texture_mirrored_r..." 
glGetStringi(GL_EXTENSIONS,249)="GL_KHR_context_flush_cont..." 
glGetStringi(GL_EXTENSIONS,250)="GL_KHR_debug" 
glGetStringi(GL_EXTENSIONS,251)="GL_KHR_no_error" 
glGetStringi(GL_EXTENSIONS,252)="GL_KHR_robust_buffer_acce..." 
glGetStringi(GL_EXTENSIONS,253)="GL_KHR_robustness" 
glGetStringi(GL_EXTENSIONS,254)="GL_KTX_buffer_region" 
glGetStringi(GL_EXTENSIONS,255)="GL_NV_alpha_to_coverage_d..." 
glGetStringi(GL_EXTENSIONS,256)="GL_NV_bindless_multi_draw..." 
glGetStringi(GL_EXTENSIONS,257)="GL_NV_bindless_multi_draw..." 
glGetStringi(GL_EXTENSIONS,258)="GL_NV_bindless_texture" 
glGetStringi(GL_EXTENSIONS,259)="GL_NV_blend_equation_adva..." 
glGetStringi(GL_EXTENSIONS,260)="GL_NV_blend_equation_adva..." 
glGetStringi(GL_EXTENSIONS,261)="GL_NV_blend_square" 
glGetStringi(GL_EXTENSIONS,262)="GL_NV_command_list" 
glGetStringi(GL_EXTENSIONS,263)="GL_NV_compute_program5" 
glGetStringi(GL_EXTENSIONS,264)="GL_NV_conditional_render" 
glGetStringi(GL_EXTENSIONS,265)="GL_NV_conservative_raster" 
glGetStringi(GL_EXTENSIONS,266)="GL_NV_conservative_raster..." 
glGetStringi(GL_EXTENSIONS,267)="GL_NV_copy_depth_to_color" 
glGetStringi(GL_EXTENSIONS,268)="GL_NV_copy_image" 
glGetStringi(GL_EXTENSIONS,269)="GL_NV_depth_buffer_float" 
glGetStringi(GL_EXTENSIONS,270)="GL_NV_depth_clamp" 
glGetStringi(GL_EXTENSIONS,271)="GL_NV_draw_texture" 
glGetStringi(GL_EXTENSIONS,272)="GL_NV_draw_vulkan_image" 
glGetStringi(GL_EXTENSIONS,273)="GL_NV_ES1_1_compatibility" 
glGetStringi(GL_EXTENSIONS,274)="GL_NV_ES3_1_compatibility" 
glGetStringi(GL_EXTENSIONS,275)="GL_NV_explicit_multisampl..." 
glGetStringi(GL_EXTENSIONS,276)="GL_NV_fence" 
glGetStringi(GL_EXTENSIONS,277)="GL_NV_fill_rectangle" 
glGetStringi(GL_EXTENSIONS,278)="GL_NV_float_buffer" 
glGetStringi(GL_EXTENSIONS,279)="GL_NV_fog_distance" 
glGetStringi(GL_EXTENSIONS,280)="GL_NV_fragment_coverage_t..." 
glGetStringi(GL_EXTENSIONS,281)="GL_NV_fragment_program" 
glGetStringi(GL_EXTENSIONS,282)="GL_NV_fragment_program_op..." 
glGetStringi(GL_EXTENSIONS,283)="GL_NV_fragment_program2" 
glGetStringi(GL_EXTENSIONS,284)="GL_NV_fragment_shader_int..." 
glGetStringi(GL_EXTENSIONS,285)="GL_NV_framebuffer_mixed_s..." 
glGetStringi(GL_EXTENSIONS,286)="GL_NV_framebuffer_multisa..." 
glGetStringi(GL_EXTENSIONS,287)="GL_NV_geometry_shader4" 
glGetStringi(GL_EXTENSIONS,288)="GL_NV_geometry_shader_pas..." 
glGetStringi(GL_EXTENSIONS,289)="GL_NV_gpu_program4" 
glGetStringi(GL_EXTENSIONS,290)="GL_NV_internalformat_samp..." 
glGetStringi(GL_EXTENSIONS,291)="GL_NV_gpu_program4_1" 
glGetStringi(GL_EXTENSIONS,292)="GL_NV_gpu_program5" 
glGetStringi(GL_EXTENSIONS,293)="GL_NV_gpu_program5_mem_ex..." 
glGetStringi(GL_EXTENSIONS,294)="GL_NV_gpu_program_fp64" 
glGetStringi(GL_EXTENSIONS,295)="GL_NV_gpu_shader5" 
glGetStringi(GL_EXTENSIONS,296)="GL_NV_half_float" 
glGetStringi(GL_EXTENSIONS,297)="GL_NV_light_max_exponent" 
glGetStringi(GL_EXTENSIONS,298)="GL_NV_multisample_coverag..." 
glGetStringi(GL_EXTENSIONS,299)="GL_NV_multisample_filter_..." 
glGetStringi(GL_EXTENSIONS,300)="GL_NV_occlusion_query" 
glGetStringi(GL_EXTENSIONS,301)="GL_NV_packed_depth_stenci..." 
glGetStringi(GL_EXTENSIONS,302)="GL_NV_parameter_buffer_ob..." 
glGetStringi(GL_EXTENSIONS,303)="GL_NV_parameter_buffer_ob..." 
glGetStringi(GL_EXTENSIONS,304)="GL_NV_path_rendering" 
glGetStringi(GL_EXTENSIONS,305)="GL_NV_path_rendering_shar..." 
glGetStringi(GL_EXTENSIONS,306)="GL_NV_pixel_data_range" 
glGetStringi(GL_EXTENSIONS,307)="GL_NV_point_sprite" 
glGetStringi(GL_EXTENSIONS,308)="GL_NV_primitive_restart" 
glGetStringi(GL_EXTENSIONS,309)="GL_NV_register_combiners" 
glGetStringi(GL_EXTENSIONS,310)="GL_NV_register_combiners2" 
glGetStringi(GL_EXTENSIONS,311)="GL_NV_sample_locations" 
glGetStringi(GL_EXTENSIONS,312)="GL_NV_sample_mask_overrid..." 
glGetStringi(GL_EXTENSIONS,313)="GL_NV_shader_atomic_count..." 
glGetStringi(GL_EXTENSIONS,314)="GL_NV_shader_atomic_float" 
glGetStringi(GL_EXTENSIONS,315)="GL_NV_shader_atomic_fp16_..." 
glGetStringi(GL_EXTENSIONS,316)="GL_NV_shader_atomic_int64" 
glGetStringi(GL_EXTENSIONS,317)="GL_NV_shader_buffer_load" 
glGetStringi(GL_EXTENSIONS,318)="GL_NV_shader_storage_buff..." 
glGetStringi(GL_EXTENSIONS,319)="GL_NV_texgen_reflection" 
glGetStringi(GL_EXTENSIONS,320)="GL_NV_texture_barrier" 
glGetStringi(GL_EXTENSIONS,321)="GL_NV_texture_compression..." 
glGetStringi(GL_EXTENSIONS,322)="GL_NV_texture_env_combine..." 
glGetStringi(GL_EXTENSIONS,323)="GL_NV_texture_multisample" 
glGetStringi(GL_EXTENSIONS,324)="GL_NV_texture_rectangle" 
glGetStringi(GL_EXTENSIONS,325)="GL_NV_texture_shader" 
glGetStringi(GL_EXTENSIONS,326)="GL_NV_texture_shader2" 
glGetStringi(GL_EXTENSIONS,327)="GL_NV_texture_shader3" 
glGetStringi(GL_EXTENSIONS,328)="GL_NV_transform_feedback" 
glGetStringi(GL_EXTENSIONS,329)="GL_NV_transform_feedback2" 
glGetStringi(GL_EXTENSIONS,330)="GL_NV_uniform_buffer_unif..." 
glGetStringi(GL_EXTENSIONS,331)="GL_NV_vertex_array_range" 
glGetStringi(GL_EXTENSIONS,332)="GL_NV_vertex_array_range2" 
glGetStringi(GL_EXTENSIONS,333)="GL_NV_vertex_attrib_integ..." 
glGetStringi(GL_EXTENSIONS,334)="GL_NV_vertex_buffer_unifi..." 
glGetStringi(GL_EXTENSIONS,335)="GL_NV_vertex_program" 
glGetStringi(GL_EXTENSIONS,336)="GL_NV_vertex_program1_1" 
glGetStringi(GL_EXTENSIONS,337)="GL_NV_vertex_program2" 
glGetStringi(GL_EXTENSIONS,338)="GL_NV_vertex_program2_opt..." 
glGetStringi(GL_EXTENSIONS,339)="GL_NV_vertex_program3" 
glGetStringi(GL_EXTENSIONS,340)="GL_NV_viewport_array2" 
glGetStringi(GL_EXTENSIONS,341)="GL_NV_viewport_swizzle" 
glGetStringi(GL_EXTENSIONS,342)="GL_NVX_conditional_render" 
glGetStringi(GL_EXTENSIONS,343)="GL_NVX_gpu_memory_info" 
glGetStringi(GL_EXTENSIONS,344)="GL_NVX_multigpu_info" 
glGetStringi(GL_EXTENSIONS,345)="GL_NVX_nvenc_interop" 
glGetStringi(GL_EXTENSIONS,346)="GL_NV_shader_thread_group" 
glGetStringi(GL_EXTENSIONS,347)="GL_NV_shader_thread_shuff..." 
glGetStringi(GL_EXTENSIONS,348)="GL_KHR_blend_equation_adv..." 
